epoch,psnr_avg,ssim_avg
1,12.24142207997902,0.5453376401982478
2,11.352894427802806,0.5271074969306849
3,11.988650379944028,0.5925545765870157
4,12.931171894821887,0.6642296605054662
5,12.413477906538567,0.6518421517016433
6,11.770491948826347,0.6200073184736933
7,12.780595166628842,0.6838833706421225
8,12.496337194542978,0.6636370279067508
9,12.114582965185901,0.6488943648256572
10,12.278956376107306,0.6583942731018313
11,12.67680444289889,0.6803477055925524
12,12.646403012839206,0.6816143297332714
13,12.343532768171421,0.6605312679293446
14,12.350322994364008,0.6645562000832658
15,12.538778111087915,0.6699983890608069
